                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.38807,                0.42096,                 1.0225,                0.76363,                0.82212,                0.79718,                 0.5045,                 1.3897,                 0.9728,                 2.2048,             0.00057022,             0.00057022,             0.00057022
                     46,                0.39014,                0.41981,                  1.026,                0.83572,                0.74519,                 0.8179,                0.48474,                 1.4272,                 1.1002,                 2.2429,             0.00056022,             0.00056022,             0.00056022
                     47,                0.38821,                 0.4041,                 1.0198,                0.84295,                0.75962,                0.83516,                0.51556,                 1.4267,                 1.0232,                  2.165,             0.00055022,             0.00055022,             0.00055022
                     48,                0.37284,                0.40905,                 1.0142,                0.80497,                0.81356,                0.82308,                0.51791,                 1.3465,                0.94804,                 2.1342,             0.00054023,             0.00054023,             0.00054023
                     49,                0.38616,                0.40847,                 1.0333,                0.82042,                0.75962,                0.79895,                0.48869,                 1.4483,                 1.0232,                 2.2579,             0.00053023,             0.00053023,             0.00053023
                     50,                0.35806,                0.38659,                 1.0087,                0.82137,                 0.8125,                0.84928,                0.51629,                 1.4081,                0.97242,                 2.2098,             0.00052024,             0.00052024,             0.00052024
                     51,                0.37543,                0.40108,                 1.0163,                0.86619,                0.74519,                0.79651,                0.48075,                 1.4332,                 1.0355,                 2.3198,             0.00051024,             0.00051024,             0.00051024
                     52,                 0.3681,                0.39306,                 1.0156,                0.86505,                0.77885,                0.81895,                0.51778,                 1.3143,                0.99857,                 2.0993,             0.00050025,             0.00050025,             0.00050025
                     53,                0.35901,                0.38131,                 1.0095,                0.85918,                0.74519,                0.82939,                0.51808,                 1.2713,                0.93665,                 2.0008,             0.00049025,             0.00049025,             0.00049025
                     54,                0.37243,                0.39472,                 1.0218,                0.83631,                0.76147,                0.79777,                 0.5036,                 1.3374,                0.94188,                 2.1267,             0.00048026,             0.00048026,             0.00048026
                     55,                0.36504,                0.36473,                 1.0203,                0.84372,                0.77885,                0.81978,                0.48378,                 1.3747,                0.98093,                 2.1891,             0.00047026,             0.00047026,             0.00047026
                     56,                0.37113,                 0.3793,                 1.0168,                0.81261,                0.75962,                0.79681,                0.48091,                 1.4334,                 1.0139,                 2.2486,             0.00046027,             0.00046027,             0.00046027
                     57,                0.35568,                0.38231,                 1.0079,                0.79717,                0.80288,                 0.8136,                0.49428,                 1.3909,                 1.0159,                 2.1679,             0.00045027,             0.00045027,             0.00045027
                     58,                0.37335,                0.40172,                 1.0225,                0.79987,                0.80703,                0.80364,                0.50557,                 1.3964,                 1.0155,                  2.134,             0.00044028,             0.00044028,             0.00044028
                     59,                0.37163,                0.39979,                 1.0135,                0.86469,                0.79883,                 0.8248,                0.49646,                 1.3749,                 1.0124,                 2.1222,             0.00043029,             0.00043029,             0.00043029
                     60,                0.36553,                 0.3845,                 1.0117,                0.84626,                0.75481,                0.80806,                0.51632,                 1.3573,                 0.9805,                 2.1261,             0.00042029,             0.00042029,             0.00042029
                     61,                0.35183,                0.36793,                  1.006,                0.86846,                0.78365,                0.82748,                0.51174,                 1.4253,                 1.0393,                 2.1938,              0.0004103,              0.0004103,              0.0004103
                     62,                0.35145,                0.37575,                 1.0052,                0.79542,                 0.7851,                 0.8076,                0.48299,                 1.4506,                 1.0394,                 2.2261,              0.0004003,              0.0004003,              0.0004003
                     63,                0.34394,                0.34747,                0.99686,                0.76485,                0.78846,                0.79779,                0.49173,                 1.3826,                 1.0281,                 2.1191,             0.00039031,             0.00039031,             0.00039031
                     64,                0.33952,                0.35754,                0.99657,                0.82326,                0.77885,                0.81294,                0.51736,                 1.3751,                 1.0341,                 2.1657,             0.00038031,             0.00038031,             0.00038031
                     65,                0.33897,                0.36677,                0.99303,                 0.8384,                0.77324,                0.80948,                0.51306,                 1.3512,                 1.0241,                 2.1742,             0.00037032,             0.00037032,             0.00037032
                     66,                0.32673,                 0.3503,                0.98614,                0.80363,                0.77885,                0.79602,                0.49371,                 1.4285,                 1.1336,                 2.2595,             0.00036032,             0.00036032,             0.00036032
                     67,                0.34089,                0.34067,                 1.0024,                0.82654,                0.77404,                0.79783,                0.50813,                 1.3446,                 0.9965,                 2.1393,             0.00035033,             0.00035033,             0.00035033
                     68,                0.34613,                0.35463,                 1.0129,                0.84955,                 0.7873,                 0.8075,                0.51127,                 1.3549,                0.95961,                 2.1279,             0.00034033,             0.00034033,             0.00034033
                     69,                0.34117,                0.35173,                0.99611,                0.84765,                0.82212,                 0.8122,                0.50349,                 1.3848,                 0.9591,                 2.1236,             0.00033034,             0.00033034,             0.00033034
                     70,                0.33914,                0.35139,                0.99054,                0.83193,                0.79808,                0.80846,                0.47015,                 1.4525,                 1.0467,                 2.2752,             0.00032034,             0.00032034,             0.00032034
                     71,                0.34295,                0.34054,                0.99472,                0.83275,                0.82692,                0.82255,                0.51381,                 1.3953,                0.98622,                 2.1713,             0.00031035,             0.00031035,             0.00031035
                     72,                0.32237,                0.33845,                0.98719,                0.84117,                 0.8148,                0.83421,                 0.5374,                 1.3527,                0.92965,                 2.1126,             0.00030035,             0.00030035,             0.00030035
                     73,                0.32082,                0.32498,                 1.0005,                0.81036,                0.80288,                0.80174,                0.49851,                 1.3973,                 1.0062,                 2.1669,             0.00029036,             0.00029036,             0.00029036
                     74,                0.31441,                 0.3375,                0.98519,                0.79975,                0.80769,                0.79581,                0.50678,                 1.4011,                  0.967,                 2.1471,             0.00028036,             0.00028036,             0.00028036
                     75,                0.32588,                0.34383,                0.99473,                0.87181,                0.75962,                 0.8121,                0.51608,                 1.3514,                0.92816,                 2.1324,             0.00027037,             0.00027037,             0.00027037
                     76,                0.31073,                0.32363,                0.98166,                0.85003,                0.79024,                0.81428,                0.53468,                 1.3529,                 0.9359,                 2.1253,             0.00026037,             0.00026037,             0.00026037
                     77,                0.32474,                0.33376,                 1.0008,                0.82651,                0.80164,                0.81638,                0.52514,                 1.3934,                0.97675,                 2.1454,             0.00025038,             0.00025038,             0.00025038
                     78,                0.30905,                0.32912,                0.98305,                0.82804,                0.79327,                0.81356,                0.50217,                 1.4263,                 1.0349,                 2.1677,             0.00024038,             0.00024038,             0.00024038
