                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.71127,                0.82325,                  1.249,                0.55012,                 0.5625,                0.49567,                 0.1831,                 2.1421,                 1.7138,                 2.9877,               0.001387,               0.001387,               0.001387
                     90,                0.64905,                0.78995,                 1.2292,                0.63171,                  0.625,                0.57678,                0.19821,                  2.072,                  1.636,                 2.8812,               0.001288,               0.001288,               0.001288
                     91,                0.68107,                0.81383,                  1.359,                0.61584,                0.60227,                0.49899,                0.18525,                 2.1613,                 1.7219,                 3.2606,               0.001189,               0.001189,               0.001189
                     92,                0.71188,                0.79665,                 1.4135,                0.55426,                0.61932,                0.51267,                0.18918,                 2.0313,                 1.8282,                 2.9705,                0.00109,                0.00109,                0.00109
                     93,                0.65203,                0.74846,                 1.3522,                0.52124,                0.56293,                0.39873,                0.15466,                 2.0696,                 1.9645,                 3.1001,               0.000991,               0.000991,               0.000991
                     94,                0.62057,                0.72736,                 1.3307,                 0.5733,                0.59545,                0.45963,                0.17108,                   2.11,                  1.835,                 3.1096,               0.000892,               0.000892,               0.000892
                     95,                0.62291,                0.72108,                 1.2799,                0.60235,                  0.625,                0.49932,                 0.1825,                 2.0789,                 1.7559,                 3.0052,               0.000793,               0.000793,               0.000793
                     96,                0.60747,                0.74157,                 1.2982,                0.59484,                0.57955,                0.48536,                 0.1856,                 2.0907,                 1.6929,                 3.2448,               0.000694,               0.000694,               0.000694
                     97,                0.58928,                0.68776,                 1.2818,                0.56373,                0.65341,                0.53921,                0.20607,                 2.0665,                 1.5254,                  3.069,               0.000595,               0.000595,               0.000595
                     98,                0.61443,                0.71059,                 1.2971,                0.64049,                0.63068,                0.60094,                 0.2262,                 2.0109,                 1.4987,                 2.8351,               0.000496,               0.000496,               0.000496
                     99,                0.57668,                0.65377,                 1.2711,                0.58019,                0.63068,                0.49145,                0.19521,                 2.0528,                 1.5251,                 3.0267,               0.000397,               0.000397,               0.000397
                    100,                0.58317,                0.65118,                 1.2688,                0.60721,                0.60227,                0.56129,                0.21893,                 1.9882,                 1.4852,                 2.9132,               0.000298,               0.000298,               0.000298
